Id_place,latitude,longitude,name,Type_shop,raw_tags/cuisine,raw_tags/opening_hours,rating
1,56.4608644,84.9505092,Чайная Обитель,cafe,,,0
2,56.4674579,84.9540226,Питер,cafe,,,0
3,56.469381,84.9468728,Минутка,cafe,,Mo-Fr 10:00-17:00,0
4,56.458785,84.9558559,Буланжери,cafe,coffee_shop,,0
5,56.4587885,84.9557708,Солянка,cafe,,,0
6,56.4612631,84.9504908,Дыхание вока,cafe,,,0
7,56.4732514,84.9445449,Чинара,cafe,oriental;russian,,0
8,56.473212,84.944527,Чинара,cafe,oriental,,0
9,56.4693434,84.9529887,Столовая НИ ТГУ,cafe,,07:30-17:30,0
10,56.4694598,84.9468399,Столовая ТГУ,cafe,,Mo-Sa 09:00-17:00,0
11,56.4724776,84.9485869,Укромное местечко,cafe,,09:00-17:00,0
12,56.4736542,84.949761,Столовая ТУСУР,cafe,,10:00-18:00,0
13,56.47,84.9516041,Багет-Омлет,cafe,,,0
14,56.4591395,84.9518851,Мир Суши,cafe,asian;oriental;japanese;sushi;seafood,11:00-23:00,0
15,56.4610583,84.9505002,Coffee Like,cafe,coffee_shop,Mo-Fr 09:00-21:00;Sa-Su 10:00-21:00,0
16,56.4620457,84.9504384,Go Coffee,cafe,,Mo-Su 09:00-22:00,0
17,56.4638929,84.9526416,Rocket Coffee,cafe,coffee_shop,Mo-Su 07:20-22:00,0
18,56.4592612,84.951477,"Rocket Coffee, кофейня",cafe,coffee_shop,Mo-Su 07:20-22:00,0
19,56.4711543,84.9501833,Белка,cafe,coffee_shop,Mo-Sa 08:30-21:00; Su 11:00-21:00,0
20,56.4645887,84.9539461,Break me fast,cafe,,"Mo-Th,Su 08:00-20:00; Fr-Sa 08:00-21:00",0
21,56.4638583,84.9518724,YourTime кофе & вафли,cafe,coffee_shop,Mo-Su 08:00-22:00,0
22,56.4735466,84.954004,Едет кофе,cafe,coffee_shop,Mo-Su 10:00-22:00,0
23,56.4609197,84.9505055,Чоколатте,cafe,coffee_shop,Mo-Su 09:00-21:00,0
24,56.463713,84.9402541,Буffет,cafe,coffee_shop,Mo-Su 10:00-02:00,0
25,56.4696071,84.94614,Starbooks,cafe,,Mo-Sa 08:00-20:00; Su 10:00-20:00,0
26,56.4707848,84.946168,Сыр-Бор,cafe,,Mo-Fr 09:00-16:00,0
27,56.4648285,84.9539207,Пешком постою,cafe,georgian,,0
28,56.4609641,84.9504894,Quua,cafe,,Mo-Su 12:00-22:00,0
29,56.4591839,84.9528564,Baba Roma,cafe,,,0
30,56.4593038,84.9514749,MindАйк Coffee,cafe,,,0
31,56.468646,84.945052,Корпус 2 ,cafe,,Mo-Su 08:00-20:00,0
32,56.4647026,84.9529037,Кафе для студентов,fast_food,,,0
33,56.4638546,84.9514755,Сибирские блины,fast_food,regional,24/7,0
34,56.4638573,84.9517069,DÖNER Мастер,fast_food,sandwich,24/7,0
35,56.4686191,84.945174,Кафе во 2-м корпусе,fast_food,regional,,0
36,56.4647878,84.9539205,Doner Master,fast_food,shawarma,,0
37,56.4691269,84.9513483,Rostic's,fast_food,chicken,09:00-01:00,0
38,56.4620724,84.9504609,Додо Пицца,fast_food,pizza,Mo-Su 09:00-23:00,0
39,56.4638701,84.9402836,Шашлычный дом,fast_food,shish-kebab,24/7,0
40,56.4662381,84.9553451,Папа Джонс,fast_food,pizza,Mo-Su 10:00-22:45,0
41,56.4639357,84.9533714,Pro любовь к еде,fast_food,,,0
42,56.4638845,84.9529338,Суп культура,fast_food,,11:00-21:00,0
43,56.4636224,84.9513983,Marvel.tea,fast_food,,,0
44,56.4592096,84.9505471,Безумно. Крутая шаурма,fast_food,,,0
