Id_place,name,food ,price ,fitback,type
189,Корпус 2 ,Черноголовка Mixes,0,0,0
3,Минутка,Сэндвич с курицей,175,0,breakfast
3,Минутка,Каша рисовая,70,0,breakfast
3,Минутка,Каша овсяная,70,0,breakfast
3,Минутка,Омлет,65,0,breakfast
3,Минутка,Сырники,130,0,breakfast
3,Минутка,Ланч комбо,330,0,lunch
3,Минутка,Завтрак@ 135 (с 10:00-12:00),135,0,breakfast
3,Минутка,Том ям с креветкой,280,0,lunch
3,Минутка,Том ям с курицей,250,0,lunch
3,Минутка,Кофе фраппе,160,0,drink
3,Минутка,Айс Латте,120,0,drink
3,Минутка,Шоколадный молочный коктейль,160,0,drink
3,Минутка,Клубничный молочный коктейль,160,0,drink
3,Минутка,Вишневый молочный коктейль,160,0,drink
3,Минутка,Ванильный молочный коктейль,150,0,drink
3,Минутка,Фреш апельсиновый,190,0,drink
3,Минутка,Фреш яблочный,150,0,drink
3,Минутка,Фреш яблоко морковь,120,0,drink
3,Минутка,Морс (200 мл),50,0,drink
3,Минутка,Раф баунти,160,0,drink
3,Минутка,Капучино Гранд,160,0,drink
3,Минутка,Латте Гранд,150,0,drink
3,Минутка,Мокко,160,0,drink
3,Минутка,Молочный горячий шоколад,140,0,drink
3,Минутка,Какао,120,0,drink
3,Минутка,Американо,100,0,drink
3,Минутка,Эспрессо,80,0,drink
3,Минутка,Чай,50,0,drink
3,Минутка,Цезарь с креветками,160,0,dinner
3,Минутка,Цезарь с цыпленком,140,0,dinner
3,Минутка,Салат с куриной грудкой и ананасом,135,0,dinner
3,Минутка,Сельдь под шубой,105,0,lunch
3,Минутка,Салат капуста с яблоком и морковью,60,0,lunch
3,Минутка,Гуляш из говядины,225,0,lunch
3,Минутка,Куриная грудка в беконе,240,0,lunch
3,Минутка,Картофельная запеканка с мясом,220,0,dinner
3,Минутка,Морской окунь с овощами под сыром,230,0,dinner
3,Минутка,Плов с курицей,200,0,dinner
3,Минутка,Ленивые голубцы,200,0,dinner
3,Минутка,Бефстроганов из печени,200,0,dinner
3,Минутка,Суп гороховый,130,0,dinner
3,Минутка,Щи,130,0,dinner
3,Минутка,Картофельное пюре,90,0,dinner
3,Минутка,Рататуй,105,0,lunch
3,Минутка,Капуста тушеная,75,0,lunch
3,Минутка,Рис с овощами,65,0,lunch
87,Абрикос,Флэт уайт,79,0,drink
87,Абрикос,Латте,79,0,drink
87,Абрикос,Капучино,79,0,drink
29,Baba Roma,Каша рисовая,135,0,breakfast
29,Baba Roma,Крем-суп сырный,210,0,lunch
29,Baba Roma,Безе с кремом,140,0,desert
29,Baba Roma,Капкейк ваниль-клюква,165,0,desert
29,Baba Roma,Капкейк соленая карамель,180,0,desert
29,Baba Roma,Кейк попс,135,0,desert
29,Baba Roma,Колбаса шоколадная,185,0,desert
29,Baba Roma,Меренговый рулет ягодный,2250,0,desert
29,Baba Roma,Муравейник,140,0,desert
29,Baba Roma,Муссовое пирожное ваниль-клюква,245,0,desert
29,Baba Roma,Муссовое пирожное мокачино,180,0,desert
29,Baba Roma,Орешки со сгущенкой,245,0,desert
29,Baba Roma,Пахлава с грецким орехом,165,0,desert
29,Baba Roma,Пирожное медовое,140,0,desert
29,Baba Roma,Пирожное морковное,185,0,desert
29,Baba Roma,Пирожное наполеон,160,0,desert
29,Baba Roma,Пирожное шоколадно-медовое,140,0,desert
29,Baba Roma,Трубочка с белковым кремом,90,0,desert
29,Baba Roma,Трубочка вафельная со сгущенкой,185,0,desert
29,Baba Roma,Эклер с карамельным кремом,120,0,desert
29,Baba Roma,Эклер сникерс,210,0,desert
29,Baba Roma,Эклер шоколадный,165,0,desert
29,Baba Roma,Булочка карамельная,75,0,desert
29,Baba Roma,Кекс с лимоном,125,0,desert
29,Baba Roma,Круассан карамельный,115,0,desert
29,Baba Roma,Круассан зерновой,55,0,desert
29,Baba Roma,Запеканка творожно-рисовая,265,0,breakfast
29,Baba Roma,Каша овсяная,135,0,breakfast
29,Baba Roma,Сырники с джемом и сметаной,275,0,breakfast
29,Baba Roma,Круассан с вишневой начинкой,85,0,desert
29,Baba Roma,Круассан с шоколадной начинкой,115,0,desert
29,Baba Roma,Круассан слоеный,55,0,desert
29,Baba Roma,Мини-пицца классическая,180,0,snack
29,Baba Roma,Печенье американер с шоколадом,75,0,desert
29,Baba Roma,Печенье песочное,250,0,desert
29,Baba Roma,Котлета куриная с картофельным пюре,275,0,dinner
